Smiles,ID
Oc(cc1O)cc(OC(c(cc2O)cc(O)c2O)=C2)c1C2=O,Amb18511697
COc(ccc(C(Oc(c(C1=O)c2O)cc(OC)c2OC)=C1OC)c1)c1O,Amb18511698
O[C@H]([C@@H](c(cc1)cc(O)c1O)Oc1c2ccc(O)c1)C2=O,Amb6356996
COc(cc(cc1O)C(Oc(cc(cc2O)O)c2C2=O)=C2O)c1O,Amb18511700
COC1=C(c(cc2)cc(O)c2O)Oc(cc(cc2O)O)c2C1=O,Amb18511702
Oc(cc1)ccc1C(Oc(c(O)c(cc1O)O)c1C1=O)=C1O,Amb18511703
Oc(cc1)cc(C2=O)c1OC(c1ccccc1)=C2O,Amb18511705
CC(C)=CCc(c(O)c(C(/C=C/c(cc1)ccc1O)=O)c(OC)c1)c1O,Amb6296274
COc(ccc(C(Oc(c(OC)c1OC)c2c(OC)c1OC)=CC2=O)c1)c1OC,Amb18511707
CC(C)(C=C1)Oc2c1c(OCC(C1)c(ccc(O)c3)c3O)c1cc2,Amb18511709
O=C(/C=C/C=C/c(cc1)cc2c1OCO2)N1CCCCC1,Amb6356394
CN(C=C(C(C=C1)=C2C=C3)C(OC)=C1OC)C2=C1C3=C=C2OCOC2=C1,Amb3774631
CC[C@](CCC1)(C2)[C@H]3N1CCc(c1c4cccc1)c3n4C2=O,Amb2747277
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc1c2OCO1,Amb539880
CN([C@H](CC1)C2)[C@@H]1C[C@@H]2OC(C(c1ccccc1)O)=O,Amb6356504
COc(c(OC)c1)cc(CCN2C=C34)c1C2=CC4=C=CC(OC)=C3OC,Amb5630004
CN([C@H](CCC1)C2)[C@@H]1CC2=O,Amb28314591
CN1C2=C(C=C3OCOC3=C3)C3=C=CC2=C(C=CC2=C3OCO2)C3=C1,Amb16192991
C[C@@H](C/C(/C(O[C@H](CC1)[C@H]2N1CC=C2COC1=O)=O)=C\C)[C@]1(C)O,Amb22584675
C[C@](C(C/C(/C(O[C@H](CC1)[C@H]2N1CC=C2CO1)=O)=C\C)=C)(C1=O)O,Amb22731803
CN(CCc1c([C@H]2O[C@@H]3OC)cc4OCOc4c1)[C@@H]2c(cc1)c3c2c1OCO2,Amb18511733
C[C@H]([C@@H]1CC2)N(C)C[C@@]1(CC1)[C@H]2[C@@H]2[C@@H]1[C@](C)(CC[C@H](C1)N(C)C)C1=CC2,Amb2717722
COc1cc(/C=C/C(N(CCC=C2)C2=O)=O)cc(OC)c1OC,Amb6296732
C1CC2=CC3=C4N=C(C=CC=C5)C5=C4C=CN3C=C2CC1,Amb18511738
OC(Cc(cc1)cc(O)c1O)=O,Amb3940367
CCCCCCCCCCCC(O)=O,Amb2708779
C[C@H]([C@H]([C@@H](C1)O2)[C@](C)(CC3)[C@H]1[C@@H]1[C@@H]3[C@](C)(CC[C@H](C3)O)C3=CC1)[C@@]21OC[C@@H](C)CC1,Amb18511752
